text,sentiment
"I absolutely love this product! Best purchase ever!",positive
"Terrible service and poor quality. Very disappointed.",negative
"The product is okay, nothing special.",neutral
"Amazing customer support! They resolved my issue quickly.",positive
"Overpriced for what you get. Not worth it.",negative
"Fast delivery and good packaging.",positive
"The interface is confusing and hard to navigate.",negative
"Average product with decent features.",neutral
"Outstanding innovation and user experience!",positive
"Poor build quality, broke after one week.",negative
"Great value for money, highly recommended!",positive
"Customer service was unhelpful and rude.",negative
"The product meets my basic needs.",neutral
"Exceeded all my expectations! Amazing!",positive
"Worst purchase I've made this year.",negative
